datetime,actual,predicted
2025-04-01 01:55:00,1331.5,1407.6882
2025-04-01 01:56:00,1379.9,1387.4413
2025-04-01 01:57:00,1379.9,1432.2341
2025-04-01 01:58:00,1379.9,1397.2485
2025-04-01 01:59:00,1379.9,1429.9573
2025-04-01 02:00:00,1343.3,1391.2717
2025-04-01 02:01:00,1323.5,1477.635
2025-04-01 02:02:00,1323.5,1406.514
2025-04-01 02:03:00,1396.0,1441.7607
2025-04-01 02:04:00,1396.0,1399.3223
2025-04-01 02:05:00,1330.6,1310.1753
2025-04-01 02:06:00,1328.0,1307.1344
2025-04-01 02:07:00,3026.5,1373.5464
2025-04-01 02:08:00,3026.5,2518.2947
2025-04-01 02:09:00,3026.5,2675.9707
2025-04-01 02:10:00,1404.1,2444.8987
2025-04-01 02:11:00,1404.1,1480.266
2025-04-01 02:12:00,1391.5,1392.6117
2025-04-01 02:13:00,1452.4,1318.9454
2025-04-01 02:14:00,1452.4,1412.9869
2025-04-01 02:15:00,1416.7,1305.7145
2025-04-01 02:16:00,1416.7,1214.8344
2025-04-01 02:17:00,1451.4,1272.1504
2025-04-01 02:18:00,1451.4,1364.0083
2025-04-01 02:19:00,1324.0,1413.7391
2025-04-01 02:20:00,1362.75,1300.8641
2025-04-01 02:21:00,1322.9,1212.1266
2025-04-01 02:22:00,1322.9,1346.4678
2025-04-01 02:23:00,1322.9,1307.2152
2025-04-01 02:24:00,1322.9,1355.9121
2025-04-01 02:25:00,1333.7,1432.7532
2025-04-01 02:26:00,1378.8,1361.0592
2025-04-01 02:27:00,1378.8,1429.5698
2025-04-01 02:28:00,1378.8,1402.513
2025-04-01 02:29:00,1378.8,1429.6282
2025-04-01 02:30:00,1343.45,1481.1174
2025-04-01 02:31:00,1343.45,1371.7914
2025-04-01 02:32:00,1343.45,1346.7437
2025-04-01 02:33:00,1472.8,1410.5552
2025-04-01 02:34:00,1472.8,1360.9286
2025-04-01 02:35:00,1335.7,1470.3647
2025-04-01 02:36:00,1335.7,1510.407
2025-04-01 02:37:00,1347.8,1426.0282
2025-04-01 02:38:00,1347.8,1346.5917
2025-04-01 02:39:00,1347.8,1380.3124
2025-04-01 02:40:00,1329.75,1220.0487
2025-04-01 02:41:00,1329.75,1328.5002
2025-04-01 02:42:00,1329.75,1350.6549
2025-04-01 02:43:00,1422.3,1223.7577
2025-04-01 02:44:00,1422.3,1321.2555
2025-04-01 02:45:00,1336.7,1291.706
2025-04-01 02:46:00,1336.7,1180.3286
2025-04-01 02:47:00,1323.9,1241.7954
2025-04-01 02:48:00,1689.5,1257.6649
2025-04-01 02:49:00,1689.5,1535.4047
2025-04-01 02:50:00,1429.4,1587.3716
2025-04-01 02:51:00,1429.4,1349.5022
2025-04-01 02:52:00,1429.4,1536.0536
2025-04-01 02:53:00,1470.0,1761.0703
2025-04-01 02:54:00,1391.4,1659.9092
2025-04-01 02:55:00,1427.6999999999998,1494.0199
2025-04-01 02:56:00,1427.6999999999998,1421.4156
2025-04-01 02:57:00,1427.6999999999998,1525.1592
2025-04-01 02:58:00,1427.6999999999998,1452.3329
2025-04-01 02:59:00,1321.9,1479.5381
2025-04-01 03:00:00,1333.9,1411.1605
2025-04-01 03:01:00,1408.0,1398.4678
2025-04-01 03:02:00,1326.1,1425.7689
2025-04-01 03:03:00,1326.1,1497.9293
2025-04-01 03:04:00,1326.1,1527.8875
2025-04-01 03:05:00,1330.6999999999998,1529.7101
2025-04-01 03:06:00,1330.6999999999998,1578.0652
2025-04-01 03:07:00,1330.6999999999998,1554.8798
2025-04-01 03:08:00,1330.6999999999998,1601.0311
2025-04-01 03:09:00,1390.1,1499.6663
2025-04-01 03:10:00,1364.5,1447.5052
2025-04-01 03:11:00,1364.5,1469.5759
2025-04-01 03:12:00,1364.5,1460.7799
2025-04-01 03:13:00,1364.5,1501.4363
2025-04-01 03:14:00,1306.9,1510.6884
2025-04-01 03:15:00,1375.4,1372.1901
2025-04-01 03:16:00,1375.4,1499.0789
2025-04-01 03:17:00,1324.8,1611.6385
2025-04-01 03:18:00,1392.3,1577.9143
2025-04-01 03:19:00,1392.3,1356.7808
2025-04-01 03:20:00,1342.6999999999998,1308.4305
2025-04-01 03:21:00,1342.6999999999998,1463.7539
2025-04-01 03:22:00,1342.6999999999998,1480.5709
2025-04-01 03:23:00,1398.9,1310.6652
2025-04-01 03:24:00,1398.9,1313.9282
2025-04-01 03:25:00,1348.4,1250.6936
2025-04-01 03:26:00,1348.4,1418.8607
2025-04-01 03:27:00,1324.0,1348.5918
2025-04-01 03:28:00,1324.0,1266.8
2025-04-01 03:29:00,1399.5,1280.7996
2025-04-01 03:30:00,1623.4333333333334,1301.1367
2025-04-01 03:31:00,1623.4333333333334,1419.4932
2025-04-01 03:32:00,1623.4333333333334,1487.8102
2025-04-01 03:33:00,1623.4333333333334,1490.694
2025-04-01 03:34:00,1623.4333333333334,1736.9313
2025-04-01 03:35:00,1402.5,1672.7692
2025-04-01 03:36:00,1402.5,1573.5874
2025-04-01 03:37:00,1395.6,1440.2352
2025-04-01 03:38:00,1395.6,1553.4165
2025-04-01 03:39:00,1465.0,1491.4596
2025-04-01 03:40:00,1456.35,1371.3767
2025-04-01 03:41:00,1456.35,1413.6213
2025-04-01 03:42:00,1325.3,1516.906
2025-04-01 03:43:00,1325.3,1458.7646
2025-04-01 03:44:00,1325.3,1589.5565
2025-04-01 03:45:00,1327.8,1426.8413
2025-04-01 03:46:00,1327.8,1599.7924
