datetime,predicted,actual,predicted_smoothed
2025-04-07 08:25:00,864.5881,1532.4333333333334,779.90063
2025-04-07 08:30:00,1188.2291,1204.2,984.0649
2025-04-07 08:35:00,1061.6306,1260.3,1022.8478
2025-04-07 08:40:00,963.492,1169.3,993.1699
2025-04-07 08:45:00,1154.2446,1120.45,1073.7073
2025-04-07 08:50:00,1096.6489,1242.4,1085.1781
2025-04-07 08:55:00,1408.4366,1376.2,1246.8074
2025-04-07 09:00:00,1266.9272,1392.45,1256.8673
2025-04-07 09:05:00,2497.4763,2055.266666666667,1877.1719
2025-04-07 09:10:00,1756.6033,2061.7,1816.8876
2025-04-07 09:15:00,1832.4121,2049.0,1824.6499
2025-04-07 09:20:00,2000.8114,2133.3,1912.7307
2025-04-07 09:25:00,2006.9283,2286.1,1959.8296
2025-04-07 09:30:00,2037.1511,2316.6,1998.4904
2025-04-07 09:35:00,2201.5317,2223.6000000000004,2100.011
2025-04-07 09:40:00,2345.762,2269.8,2222.8865
2025-04-07 09:45:00,2286.5894,2343.95,2254.7378
2025-04-07 09:50:00,2467.0833,2389.3,2360.9106
2025-04-07 09:55:00,2387.282,2220.2,2374.0962
2025-04-07 10:00:00,2392.369,2476.7,2383.2324
2025-04-07 10:05:00,2382.866,2310.7,2383.0493
2025-04-07 10:10:00,2325.7102,2369.3,2354.38
2025-04-07 10:15:00,2513.9307,2330.6,2434.1553
2025-04-07 10:20:00,3513.5413,3305.6,2973.8481
2025-04-07 10:25:00,2698.9353,2275.7,2836.3916
2025-04-07 10:30:00,2554.8774,2281.7,2695.6345
2025-04-07 10:35:00,2689.4248,2390.1,2692.5298
2025-04-07 10:40:00,2485.0227,2485.4,2588.7764
2025-04-07 10:45:00,2349.8816,2197.45,2469.329
2025-04-07 10:50:00,2380.4365,2235.8,2424.8828
2025-04-07 10:55:00,2455.5642,2093.3,2440.2236
2025-04-07 11:00:00,2295.644,2032.9,2367.9338
2025-04-07 11:05:00,2996.9014,2173.9,2682.4175
2025-04-07 11:10:00,2314.8787,2238.65,2498.648
2025-04-07 11:15:00,2204.3477,2031.4,2351.4978
2025-04-07 11:20:00,2386.9265,2047.45,2369.2122
2025-04-07 11:25:00,2121.8892,1964.95,2245.5508
2025-04-07 11:30:00,2140.0193,2067.7,2192.7852
2025-04-07 11:35:00,2071.2148,1933.4,2132.0
2025-04-07 11:40:00,2008.6324,1911.9,2070.3162
2025-04-07 11:45:00,2154.3347,1932.55,2112.3254
2025-04-07 11:50:00,2050.6348,2122.8,2081.48
2025-04-07 11:55:00,2311.538,2211.0,2196.509
2025-04-07 12:00:00,2035.4952,2230.85,2116.0022
2025-04-07 12:05:00,2169.8704,2098.7,2142.9363
2025-04-07 12:10:00,2184.1006,2179.05,2163.5186
2025-04-07 12:15:00,1956.6416,1890.0,2060.08
2025-04-07 12:20:00,1939.5701,1946.8,1999.8251
2025-04-07 12:25:00,1923.2625,1892.0,1961.5437
2025-04-07 12:30:00,1953.2501,1676.7,1957.397
2025-04-07 12:35:00,1891.6958,1701.2,1924.5464
